ID,app_ID,Call,Service_Type,Market,State,transmitter_lat,transmitter_lon,avg.dist,xFormat,Format,SEPT.16,OCT.16,NOV.16,DEC.16,Share_Change,Christmas
BLED-20150728AAV,1684015,KAAI,FM,NA,CO,39.04915,-108.25175,39149.26,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-19950927KD,214224,KAAK,FM,NA,MT,47.53968,-111.28581,57674.37,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-19890313KD,125868,KAAN,FM,NA,MO,40.25639,-94.15662,44683.64,NA,NA,NA,NA,NA,NA,NA,FALSE
BMLH-20070220AAV,1172632,KAAP,FM,NA,NA,47.38096,-120.28868,31475.84,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-19851003KA,82362,KAAQ,FM,NA,NE,41.84136,-103.08576,64734.17,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-19950106KC,205399,KAAR,FM,NA,MT,46.00798,-112.44252,52261.02,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20000309AAY,493801,KAAT,FM,NA,CA,37.45272,-119.63265,52800.86,NA,NA,NA,NA,NA,NA,NA,FALSE
BMPED-19960826IA,231436,KAAX,FM,NA,CA,36.01107,-120.07486,21179.63,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20021125AAT,669065,KAAZ,FM,Salt Lake City,UT,40.65939,-112.20217,89057.43,NA,Classic Rock,2.7,2.4,2.7,NA,NA,FALSE
BLED-20130123AGE,1535306,KABA,FM,NA,TX,29.10167,-96.45555,26892.01,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20080829AAQ,1263981,KABD,FM,NA,SD,45.45359,-98.80316,46059.38,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-19900803KC,151310,KABF,FM,NA,AR,34.79204,-92.47738,66178.7,NA,NA,NA,NA,NA,NA,NA,FALSE
BMLH-20031230ABO,994809,KABG,FM,NA,NM,35.7803,-106.52753,85812.91,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20110428AAK,1415275,KABN,FM,NA,AK,60.53221,-151.08334,24748.29,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-19981015KC,275474,KABQ,FM,NA,NM,34.77006,-106.86225,68227.3,Holiday (80's Rock),NA,NA,NA,NA,NA,NA,TRUE
BLED-20120402AUZ,1493287,KABR,FM,NA,NM,34.417,-107.50171,22777.59,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20100602AHD,1372489,KABU,FM,NA,ND,47.99194,-98.94845,42091.25,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20011003AAY,584005,KABW,FM,NA,TX,32.28513,-99.64453,65808.74,NA,NA,NA,NA,NA,NA,NA,FALSE
