From: https://tlr.nielsen.com/tlr/public/ratingsDisplay.do?method=loadRatingsForMarket,,,,,,,
City,State,Subscriber, Format,16-Sep, OCT 16, NOV 16, DEC 16
Kansas City,MO,KRBZ-FM,Alternative,5,6.1,7.2,
Kansas City,MO,KZPT-FM,Hot Adult Contemporary,5.2,5.8,5.9,
Kansas City,MO,KPRS-FM,Urban Contemporary,5.5,5.3,5.5,
Kansas City,MO,KFKF-FM,Country,4.2,4.7,4.9,
Kansas City,MO,KMJK-FM,Urban Adult Contemporary,4.4,4.9,4.6,
Kansas City,MO,KMXV-FM,Pop Contemporary Hit Radio,4.8,4.3,4.4,
Kansas City,MO,KMBZ-FM,News Talk Information,4.7,3.9,4.2,
Kansas City,MO,KQRC-FM,Active Rock,3.5,4.1,4.2,
Kansas City,MO,KCKC-FM,Adult Contemporary,4.1,4.2,4,
Kansas City,MO,KCUR-FM,News Talk Information,3.4,3.2,4,
Kansas City,MO,KBEQ-FM,Country,4.3,3.6,3.5,
Kansas City,MO,WDAF-FM,Country,3.8,3.6,3.5,
Kansas City,MO,WHB-AM,All Sports,2.5,2.6,2.9,
Kansas City,MO,KCHZ-FM,Pop Contemporary Hit Radio,3.3,3.1,2.6,
Kansas City,MO,KMBZ-AM,Talk/Personality,2.5,2.3,2.5,
Kansas City,MO,KCJK-FM,Alternative,3.1,2.3,2.4,
Kansas City,MO,KJNW-FM,Contemporary Christian,1.8,1.7,1.9,
Kansas City,MO,KCSP-AM,All Sports,4.3,3,1.2,
Kansas City,MO,KCMO-AM,Talk/Personality,1.2,1.1,1,
Kansas City,MO,KANU-FM,Variety,0.7,0.6,0.9,
Kansas City,MO,KCMO-FM HD2,Adult Hits,1.3,1,0.8,
Kansas City,MO,KPRT-AM,Gospel,0.3,0.2,0.3,
Kansas City,MO,KTBG-FM,Album Adult Alternative,0.3,0.3,0.3,
Kansas City,MO,KCTE-AM,Talk/Personality,0.1,0.1,0.1,
Kansas City,MO,KCUR-FM Stream,News Talk Information,0.1,*,0.1,
Kansas City,MO,KWOD-AM,All Sports,,,,
Las Vegas,NV,KKLZ-FM,Classic Hits,6.7,6.4,7.2,
Las Vegas,NV,KSNE-FM,Adult Contemporary,6.4,7,7,
Las Vegas,NV,KWNR-FM,Country,3.6,4.5,5,
Las Vegas,NV,KOAS-FM,Rhythmic AC,3.9,3.5,4.8,
Las Vegas,NV,KWID-FM,Spanish Adult Hits,4.3,3.7,4.7,
Las Vegas,NV,KXPT-FM,Classic Rock,6.3,5.9,4.6,
Las Vegas,NV,KXQQ-FM,Rhythmic AC,3.5,4.5,4.5,
Las Vegas,NV,KMXB-FM,Hot Adult Contemporary,5.1,4.5,4.4,
Las Vegas,NV,KISF-FM,Mexican Regional,4.5,4.2,4.2,
Las Vegas,NV,KOMP-FM,Album Oriented Rock,3,3.2,4,
Las Vegas,NV,KLUC-FM,Pop Contemporary Hit Radio,4.6,4,3.7,
Las Vegas,NV,KSOS-FM,Christian Adult Contemporary,5.4,3.6,3.1,
Las Vegas,NV,KVEG-FM,Rhythmic Contemporary Hit Radio,2.9,2.7,2.8,
Las Vegas,NV,KXTE-FM,Alternative,2.7,3,2.7,
Las Vegas,NV,KCYE-FM,Country,2.7,3.1,2.5,
Las Vegas,NV,KRGT-FM,Spanish Contemporary,2.6,2.6,2.5,
Las Vegas,NV,KXNT-AM,News Talk Information,1.9,2.3,2.4,
Las Vegas,NV,KYMT-FM HD2+,Urban Contemporary,2.4,2.2,2.4,
Las Vegas,NV,KVGS-FM,Hot Adult Contemporary,2.6,2.8,2.3,
Las Vegas,NV,KNPR-FM,News Talk Information,2,2.1,1.8,
Las Vegas,NV,KYMT-FM+,Adult Hits,1.4,1.5,1.8,
Las Vegas,NV,KQRT-FM,Mexican Regional,2,2.1,1.5,
Las Vegas,NV,KWWN-AM,All Sports,0.8,1.3,1.5,
Las Vegas,NV,KDWN-AM,News Talk Information,0.5,1.2,1.1,
Las Vegas,NV,KRRN-FM,Spanish Contemporary,1.3,0.9,0.7,
Las Vegas,NV,KVGQ-FM,Hot Adult Contemporary,0.8,0.6,0.7,
Las Vegas,NV,KXST-AM,All Sports,0.4,0.7,0.6,
Las Vegas,NV,KLAV-AM,News Talk Information,0.6,0.5,0.5,
Las Vegas,NV,KRLV-AM,Spanish News/Talk,0.1,0.1,0.4,
Las Vegas,NV,KCNV-FM,Classical,0.5,0.4,0.3,
Las Vegas,NV,KUNV-FM,Jazz,0.5,0.7,0.3,
Las Vegas,NV,KBAD-AM,All Sports,*,0.1,0.1,
Las Vegas,NV,KENO-AM,All Sports,0.3,0.2,0.1,
Las Vegas,NV,KMZQ-AM,All Sports,*,0.3,*,
Los Angeles,CA,KOST-FM,Adult Contemporary,,5.4,5.5,6.4
Los Angeles,CA,KBIG-FM,Hot Adult Contemporary,,4.4,4.7,5.6
Los Angeles,CA,KTWV-FM,Rhythmic AC,,4.7,4.8,4.9
Los Angeles,CA,KRTH-FM,Classic Hits,,4.5,4.9,4.8
Los Angeles,CA,KIIS-FM,Pop Contemporary Hit Radio,,4.5,4.6,4.4
Los Angeles,CA,KLVE-FM,Spanish Contemporary,,4.5,4.1,4
Los Angeles,CA,KFI-AM,News Talk Information,,3.1,3.5,3.8
Los Angeles,CA,KCBS-FM,Adult Hits,,3.3,3.7,3.7
Los Angeles,CA,KYSR-FM,Alternative,,3.2,3.5,3.4
Los Angeles,CA,KRCD-FM,Spanish Adult Hits,,3.3,3.3,3.3
Los Angeles,CA,KNX-AM,All News,,3,3,3.1
Los Angeles,CA,KSCA-FM,Mexican Regional,,3.5,3.3,3.1
Los Angeles,CA,KAMP-FM,Pop Contemporary Hit Radio,,3,3,3
Los Angeles,CA,KRRL-FM,Urban Contemporary,,3,2.6,2.6
Los Angeles,CA,KPWR-FM,Rhythmic Contemporary Hit Radio,,2.4,2.5,2.5
Los Angeles,CA,KLOS-FM,Album Oriented Rock,,2.3,2,2.2
Los Angeles,CA,KSWD-FM,Classic Rock,,2.6,2.4,2.2
Los Angeles,CA,KKGO-FM,Country,,2.7,2.3,2.1
Los Angeles,CA,KXOL-FM,Spanish Contemporary,,2.2,2.2,2.1
Los Angeles,CA,KJLH-FM,Urban Adult Contemporary,,1.6,1.7,2
Los Angeles,CA,KLAX-FM,Mexican Regional,,2.1,2.3,2
Los Angeles,CA,KXOS-FM,Mexican Regional,,2,1.8,2
Los Angeles,CA,KROQ-FM,Alternative,,2.2,2.2,1.9
Los Angeles,CA,KBUE-FM,Mexican Regional,,2,1.9,1.6
Los Angeles,CA,KPCC-FM,News Talk Information,,1.7,1.9,1.6
Los Angeles,CA,KLYY-FM,Spanish Adult Hits,,2,1.8,1.5
Los Angeles,CA,KCRW-FM,Variety,,1.2,1.4,1.4
Los Angeles,CA,KSPN-AM,All Sports,,0.8,1.2,1.3
Los Angeles,CA,KUSC-FM,Classical,,1.4,1.2,1.3
Los Angeles,CA,KWIZ-FM,Mexican Regional,,1.4,1.3,1.3
Los Angeles,CA,KDAY-FM,Rhythmic AC,,1.1,1.1,1.2
Los Angeles,CA,KLAC-AM,All Sports,,1.4,1.7,0.9
Los Angeles,CA,KRLA-AM,News Talk Information,,0.8,0.6,0.9
Los Angeles,CA,KABC-AM,News Talk Information,,0.8,0.7,0.8
Los Angeles,CA,KEIB-AM,Talk/Personality,,0.8,0.8,0.8
Los Angeles,CA,KKJZ-FM,Jazz,,0.6,0.6,0.8
Los Angeles,CA,KFSH-FM,Christian Adult Contemporary,,0.6,0.6,0.6
Los Angeles,CA,KSSE-FM,Spanish Contemporary,,0.7,0.7,0.5
Los Angeles,CA,KTNQ-AM,Spanish News/Talk,,0.3,0.3,0.4
Los Angeles,CA,KWKW-AM,All Sports,,0.4,0.4,0.4
Los Angeles,CA,KHJ-AM,Religious,,0.3,0.3,0.3
Los Angeles,CA,KKLA-FM,Religious,,0.1,0.1,0.2
Los Angeles,CA,KLAA-AM,All Sports,,0.2,0.2,0.1
Los Angeles,CA,KPCC-FM Stream,News Talk Information,,0.2,0.2,*
Memphis,TN,KJMS-FM,Urban Adult Contemporary,10.2,9.9,9.9,
Memphis,TN,WRBO-FM,Urban Adult Contemporary,7.8,8.3,9.1,
Memphis,TN,WHRK-FM,Urban Contemporary,7.3,6.9,6.8,
Memphis,TN,WMC-FM,Hot Adult Contemporary,6,6.4,6.6,
Memphis,TN,WRVR-FM,Adult Contemporary,7.1,6.3,6.1,
Memphis,TN,WDIA-AM,Urban Adult Contemporary,5.9,5.9,5.7,
Memphis,TN,WHAL-FM,Contemporary Inspirational,5.5,5.8,5.3,
Memphis,TN,WXMX-FM,Album Oriented Rock,4.9,5.2,5.2,
Memphis,TN,WGKX-FM,Country,4,4.3,5.1,
Memphis,TN,WREC-AM,News Talk Information,3.3,3.6,3.5,
Memphis,TN,WMFS-FM,All Sports,2.5,2.8,3,
Memphis,TN,WLFP-FM,Country,3,3,2.9,
Memphis,TN,WKIM-FM,Rhythmic AC,2.8,2.6,2.5,
Memphis,TN,WEGR-FM,Classic Rock,2.9,2.6,2.4,
Memphis,TN,KWNW-FM,Pop Contemporary Hit Radio,1.4,1.8,1.6,
Memphis,TN,WKNO-FM,News Talk Information,1.3,1.3,1.1,
Memphis,TN,WQOX-FM,Urban Adult Contemporary,0.8,0.9,0.9,
Memphis,TN,WMC-AM,All Sports,0.1,0.1,0.2,
Minneapolis-St. Paul,MN,KQQL-FM,Classic Hits,,6.5,6.3,7.6
Minneapolis-St. Paul,MN,KFXN-FM,All Sports,,8.9,8.5,7.4
Minneapolis-St. Paul,MN,KSTP-FM,Hot Adult Contemporary,,7.6,7.1,7.1
Minneapolis-St. Paul,MN,KDWB-FM,Pop Contemporary Hit Radio,,7.5,7.3,7
Minneapolis-St. Paul,MN,KQRS-FM,Classic Rock,,7.1,7,6.9
Minneapolis-St. Paul,MN,KNOW-FM,News Talk Information,,5.1,5.2,5.9
Minneapolis-St. Paul,MN,KZJK-FM,Adult Hits,,5.7,6.2,5.7
Minneapolis-St. Paul,MN,KEEY-FM,Country,,5.3,5.1,5.2
Minneapolis-St. Paul,MN,KXXR-FM,Active Rock,,5.4,5.6,5
Minneapolis-St. Paul,MN,KTIS-FM,Contemporary Christian,,5,5,4.8
Minneapolis-St. Paul,MN,KTCZ-FM,Hot Adult Contemporary,,5.5,5.2,4.6
Minneapolis-St. Paul,MN,WCCO-AM,News Talk Information,,4.7,4.5,4.5
Minneapolis-St. Paul,MN,KMNB-FM,New Country,,3.6,3.9,3.6
Minneapolis-St. Paul,MN,KTLK-AM,News Talk Information,,1.8,2.1,2.6
Minneapolis-St. Paul,MN,KTMY-FM,Talk/Personality,,2,2.3,2.3
Minneapolis-St. Paul,MN,KSJN-FM,Classical,,1.9,2,2.1
Minneapolis-St. Paul,MN,KCMP-FM,Album Adult Alternative,,1.9,1.8,2
Minneapolis-St. Paul,MN,KSTP-AM,All Sports,,1.5,1.7,1.3
Minneapolis-St. Paul,MN,WGVX-FM,Rhythmic Oldies,,1.2,1.1,1.3
Minneapolis-St. Paul,MN,KBEM-FM,Jazz,,0.6,0.5,1
Minneapolis-St. Paul,MN,KMOJ-FM,Urban Adult Contemporary,,1.2,1.2,1
Minneapolis-St. Paul,MN,KTWN-FM,Alternative,,0.8,0.8,0.8
Minneapolis-St. Paul,MN,KTCZ-FM HD3,Urban Oldies,,0.8,0.7,0.7
Minneapolis-St. Paul,MN,KNOW-FM Stream,News Talk Information,,0.3,0.3,0.3
Minneapolis-St. Paul,MN,KCMP-FM Stream,Album Adult Alternative,,0.2,0.2,0.2
Minneapolis-St. Paul,MN,KQQL-FM HD3,Rhythmic Contemporary Hit Radio,,0.2,0.1,0.2
Minneapolis-St. Paul,MN,KTIS-AM,Religious,,0.2,0.2,0.2
Minneapolis-St. Paul,MN,KQQL-FM HD2,80's Hits,,0.1,0.1,0.1
Nashville,TN,WJXA-FM,Adult Contemporary,9.7,8.4,8.3,
Nashville,TN,WGFX-FM,All Sports,5.4,7.8,7.6,
Nashville,TN,WRVW-FM,Pop Contemporary Hit Radio,7.7,7.3,7,
Nashville,TN,WQQK-FM,Urban Adult Contemporary,5.3,5.8,6.1,
Nashville,TN,WUBT-FM,Urban Contemporary,5.9,6.2,5.9,
Nashville,TN,WWTN-FM,Talk/Personality,5.2,5.4,5.9,
Nashville,TN,WCJK-FM,Adult Hits,5.4,5.8,5.7,
Nashville,TN,WSM-FM,Country,5.9,6,5.6,
Nashville,TN,WNRQ-FM,Classic Rock,6,5.3,4.9,
Nashville,TN,WSIX-FM,New Country,4.5,4.4,4.7,
Nashville,TN,WPLN-FM,News Talk Information,4.4,4.3,4.2,
Nashville,TN,WNFN-FM,Pop Contemporary Hit Radio,3.1,3.2,3.7,
Nashville,TN,WBUZ-FM,Active Rock,3.7,3.5,3.4,
Nashville,TN,WKDF-FM,Country,3.3,3.6,3.3,
Nashville,TN,WLVU-FM,Contemporary Christian,3,2.9,2.2,
Nashville,TN,WSM-AM,Classic Country,2.3,2.1,2.2,
Nashville,TN,WAYM-FM,Contemporary Christian,1.8,1.3,1.8,
Nashville,TN,WLAC-AM,News Talk Information,0.8,1.2,1.3,
Nashville,TN,WFCL-FM,Classical,1.6,1.3,1.2,
Nashville,TN,WPRT-FM,All Sports,0.9,0.9,1,
Nashville,TN,WPRT-FM HD2,Gospel,1.2,0.9,0.6,
Nashville,TN,WQZQ-AM,Classic Hits,0.6,0.6,0.6,
Nashville,TN,WAYQ-FM,Contemporary Christian,0.6,0.5,0.5,
Nashville,TN,WBUZ-FM HD3,All Sports,0.1,0.1,0.4,
Nashville,TN,WNVL-AM,Spanish Hot Adult Contemporary,0.7,0.3,0.3,
Nashville,TN,WFCM-FM,Religious,0.3,0.2,0.2,
Nashville,TN,WMDB-AM,Mexican Regional,0.1,*,0.2,
Nashville,TN,WMOT-FM,Jazz,0.1,0.2,0.2,
Nashville,TN,WNRQ-FM HD2,Alternative,0.3,0.2,0.2,
Nashville,TN,WNRQ-FM HD3,Contemporary Christian,0.1,0.1,0.1,
New York,NY,WLTW-FM,Adult Contemporary,,6.7,6.4,8.3
New York,NY,WCBS-FM,Classic Hits,,5.4,5.9,5.7
New York,NY,WBLS-FM,Urban Adult Contemporary,,5.6,5.6,5.5
New York,NY,WHTZ-FM,Pop Contemporary Hit Radio,,5.7,5.6,5.3
New York,NY,WAXQ-FM,Classic Rock,,4.7,4.7,5
New York,NY,WINS-AM,All News,,4.3,4.7,4.6
New York,NY,WSKQ-FM,Spanish Tropical,,4.7,4.5,4.6
New York,NY,WKTU-FM,Hot Adult Contemporary,,3.9,4.3,4
New York,NY,WWPR-FM,Urban Contemporary,,3.9,3.7,3.7
New York,NY,WFAN-FM,All Sports,,3.7,3.4,3.3
New York,NY,WPLJ-FM,Hot Adult Contemporary,,2.7,3.1,3
New York,NY,WQHT-FM,Rhythmic Contemporary Hit Radio,,3,3.2,3
New York,NY,WXNY-FM,Spanish Contemporary,,3.4,3.5,2.7
New York,NY,WBMP-FM,Pop Contemporary Hit Radio,,2.8,2.6,2.6
New York,NY,WNEW-FM,Hot Adult Contemporary,,2.7,2.3,2.6
New York,NY,WNYC-FM,News Talk Information,,2.1,2.3,2.6
New York,NY,WCBS-AM,All News,,3,2.9,2.5
New York,NY,WPAT-FM,Spanish Contemporary,,2.7,2.4,2.2
New York,NY,WNSH-FM,Country,,1.9,1.9,1.8
New York,NY,WOR-AM,News Talk Information,,2.2,1.7,1.7
New York,NY,WQXR-FM,Classical,,1.3,1.4,1.6
New York,NY,WEPN-FM,All Sports,,1.5,1.8,1.5
New York,NY,WABC-AM,News Talk Information,,1.4,1.4,1.4
New York,NY,WKXW-FM,Talk/Personality,,1.3,1.2,1.1
New York,NY,WNYC-AM,News Talk Information,,0.6,0.6,0.9
New York,NY,WADO-AM,Spanish News/Talk,,1,0.9,0.8
New York,NY,WBGO-FM,Jazz,,0.8,0.7,0.7
New York,NY,WFUV-FM,Album Adult Alternative,,0.9,0.7,0.7
New York,NY,WLIB-AM,Gospel,,0.4,0.5,0.6
New York,NY,WQBU-FM,Mexican Regional,,0.3,0.5,0.6
New York,NY,WAWZ-FM,Contemporary Christian,,0.5,0.5,0.4
New York,NY,WHUD-FM,Adult Contemporary,,0.5,0.6,0.4
New York,NY,WMGQ-FM,Adult Contemporary,,0.4,0.4,0.4
New York,NY,WNBM-FM,Urban Adult Contemporary,,0.5,0.5,0.4
New York,NY,WXPK-FM,Album Adult Alternative,,0.3,0.2,0.3
New York,NY,WEPN-AM,Spanish Sports,,0.1,0.2,0.2
New York,NY,WJLK-FM,Hot Adult Contemporary,,0.2,0.1,0.1
New York,NY,WKMK-FM,Country,,0.1,0.1,0.1
New York,NY,WWZY-FM,Hot Adult Contemporary,,0.1,0.1,0.1
Orlando,FL,WRUM-FM,Spanish Tropical,9.5,9.6,10.7,
Orlando,FL,WXXL-FM,Pop Contemporary Hit Radio,10.4,9.3,8.8,
Orlando,FL,WMGF-FM,Adult Contemporary,8,7.5,8.4,
Orlando,FL,WMMO-FM,Classic Hits,7.1,6.7,7,
Orlando,FL,WOCL-FM,Classic Hits,6.7,6.7,6.2,
Orlando,FL,WCFB-FM,Urban Adult Contemporary,5.9,6.2,5.7,
Orlando,FL,WOMX-FM,Hot Adult Contemporary,5.9,5.7,5.7,
Orlando,FL,WDBO-FM,News Talk Information,5,5,5.3,
Orlando,FL,WWKA-FM,Country,4.7,5.1,5,
Orlando,FL,WJRR-FM,Active Rock,5.1,4.2,4.2,
Orlando,FL,WPYO-FM,Rhythmic Contemporary Hit Radio,4.7,4.4,4,
Orlando,FL,WQMP-FM,Pop Contemporary Hit Radio,3.5,3.8,3.5,
Orlando,FL,WTKS-FM,Talk/Personality,3,3.8,3.4,
Orlando,FL,WMFE-FM,News Talk Information,2,2.5,2.4,
Orlando,FL,WNUE-FM,Spanish Tropical,2.6,2.1,2.2,
Orlando,FL,WFLF-AM,News Talk Information,1.6,1.8,1.7,
Orlando,FL,WTKS-FM HD2,Urban Contemporary,1.1,1.3,1.6,
Orlando,FL,WOTW-FM,Country,1,1.2,1.2,
Orlando,FL,WUCF-FM,Jazz,0.9,0.7,1.1,
Orlando,FL,WDBO-AM,All Sports,0.7,0.8,0.9,
Orlando,FL,WYGM-AM,All Sports,0.8,1.1,0.8,
Orlando,FL,WRUM-FM HD3,Contemporary Christian,0.2,0.2,0.1,
Philadelphia,PA,WBEB-FM,Adult Contemporary,,7.6,7.5,11.1
Philadelphia,PA,WDAS-FM,Urban Adult Contemporary,,6.3,6.9,7
Philadelphia,PA,WOGL-FM,Classic Hits,,6.7,6.8,5.7
Philadelphia,PA,WMGK-FM,Classic Rock,,5.8,6,5.4
Philadelphia,PA,KYW-AM,All News,,4.6,5.1,5.3
Philadelphia,PA,WMMR-FM,Album Oriented Rock,,6.1,5.8,5
Philadelphia,PA,WIP-FM,All Sports,,5,4.9,4.3
Philadelphia,PA,WUSL-FM,Urban Contemporary,,4.1,4,4
Philadelphia,PA,WXTU-FM,Country,,4.3,4.3,4
Philadelphia,PA,WIOQ-FM,Pop Contemporary Hit Radio,,3.8,3.9,3.6
Philadelphia,PA,WRFF-FM,Alternative,,4.9,4.1,3.5
Philadelphia,PA,WPHT-AM,Talk/Personality,,3.2,3.6,3.4
Philadelphia,PA,WRNB-FM,Urban Oldies,,3.4,3.5,3.3
Philadelphia,PA,WBEN-FM,Adult Hits,,3.4,3.1,3
Philadelphia,PA,WZMP-FM,Pop Contemporary Hit Radio,,3.1,3,3
Philadelphia,PA,WHYY-FM,News Talk Information,,2.4,2.5,2.9
Philadelphia,PA,WISX-FM,Hot Adult Contemporary,,2.7,2.7,2.7
Philadelphia,PA,WPPZ-FM,Contemporary Inspirational,,1.5,1.7,2.3
Philadelphia,PA,WPEN-FM,All Sports,,2.5,2.4,2.2
Philadelphia,PA,WRTI-FM,Classical,,1.6,1.8,2
Philadelphia,PA,WXPN-FM,Album Adult Alternative,,1.2,1.4,1.4
Philadelphia,PA,WPHI-FM,Urban Contemporary,,1.4,1.1,1.3
Philadelphia,PA,WKXW-FM,Talk/Personality,,1.1,1.2,1.2
Philadelphia,PA,WPST-FM,Pop Contemporary Hit Radio,,0.8,0.8,0.9
Philadelphia,PA,WBYO-FM,Contemporary Christian,,0.7,0.8,0.8
Philadelphia,PA,WFPG-FM,Adult Contemporary,,0.1,0.1,0.1
Philadelphia,PA,WSJO-FM,Hot Adult Contemporary,,0.1,0.1,0.1
Phoenix,AZ,KESZ-FM,Adult Contemporary,,6.7,6.3,9.8
Phoenix,AZ,KSLX-FM,Classic Rock,,6.6,6,5.2
Phoenix,AZ,KUPD-FM,Active Rock,,5.1,5.1,4.7
Phoenix,AZ,KOOL-FM,Classic Hits,,4.8,4.7,4.4
Phoenix,AZ,KMXP-FM,Hot Adult Contemporary,,4.1,4.2,4.3
Phoenix,AZ,KTAR-FM,News Talk Information,,4,4,4
Phoenix,AZ,KMLE-FM,Country,,3.4,4,3.9
Phoenix,AZ,KYOT-FM,Adult Hits,,4.1,4.1,3.9
Phoenix,AZ,KALV-FM,Pop Contemporary Hit Radio,,3.7,4.4,3.8
Phoenix,AZ,KHOT-FM,Mexican Regional,,3.8,3.7,3.8
Phoenix,AZ,KNIX-FM,Country,,3.8,3.8,3.4
Phoenix,AZ,KZZP-FM,Pop Contemporary Hit Radio,,3.4,3.4,3.4
Phoenix,AZ,KNAI-FM,Mexican Regional,,2.7,3.4,3.2
Phoenix,AZ,KKFR-FM,Rhythmic Contemporary Hit Radio,,2.7,2.6,2.9
Phoenix,AZ,KMVP-FM,All Sports,,2.9,3.2,2.8
Phoenix,AZ,KFYI-AM,News Talk Information,,2.3,2.4,2.6
Phoenix,AZ,KLNZ-FM,Mexican Regional,,3.2,2.9,2.6
Phoenix,AZ,KMVA-FM,Hot Adult Contemporary,,3.4,2.9,2.6
Phoenix,AZ,KJZZ-FM,News Talk Information,,2.4,2.4,2.5
Phoenix,AZ,KOMR-FM,Spanish Adult Hits,,2.7,2.5,2.5
Phoenix,AZ,KDKB-FM,Alternative,,2.5,2.4,2.3
Phoenix,AZ,KOAI-FM,Adult Contemporary,,1.9,2.3,2.1
Phoenix,AZ,KBAQ-FM,Classical,,1.7,1.7,2
Phoenix,AZ,KVVA-FM,Spanish Adult Hits,,1.2,1.8,1.6
Phoenix,AZ,KAJM-FM,Rhythmic Oldies,,1.5,1.5,1.3
Phoenix,AZ,KAZG-AM,Oldies,,1,1.2,1.3
Phoenix,AZ,KFLR-FM,Contemporary Christian,,0.8,1,1.3
Phoenix,AZ,KQMR-FM,Spanish Contemporary,,1.1,1.1,1.2
Phoenix,AZ,KNRJ-FM,Rhythmic Contemporary Hit Radio,,1.1,1,0.9
Phoenix,AZ,KGME-AM,All Sports,,0.8,0.7,0.6
Phoenix,AZ,KTAR-AM,All Sports,,0.5,0.8,0.6
Phoenix,AZ,KDUS-AM,All Sports,,0.1,0.1,0.1
Phoenix,AZ,KHOV-FM,Spanish Contemporary,,*,*,0.1
Phoenix,AZ,KOY-AM,News Talk Information,,0.1,0.1,0.1
Phoenix,AZ,KBMB-AM,Spanish Sports,,*,0.1,*
Pittsburgh,PA,WDVE-FM,Album Oriented Rock,9.9,10.4,10,
Pittsburgh,PA,WWSW-FM,Classic Hits,10.6,9.5,9,
Pittsburgh,PA,WRRK-FM,Adult Hits,7.7,7.2,7.7,
Pittsburgh,PA,WKST-FM,Pop Contemporary Hit Radio,7.2,7.4,7,
Pittsburgh,PA,WSHH-FM,Adult Contemporary,6.8,6.6,6.3,
Pittsburgh,PA,WDSY-FM,Country,6,5.6,6.1,
Pittsburgh,PA,KDKA-AM,News Talk Information,4.7,4.9,5.4,
Pittsburgh,PA,KDKA-FM,All Sports,7.6,6.5,4.7,
Pittsburgh,PA,WBZZ-FM,Hot Adult Contemporary,4.5,4.6,4.5,
Pittsburgh,PA,WPGB-FM,Country,4,4.4,4.2,
Pittsburgh,PA,WXDX-FM,Alternative,2.9,3.3,3.6,
Pittsburgh,PA,WLTJ-FM,Adult Contemporary,2.5,2.6,2.8,
Pittsburgh,PA,WESA-FM,News Talk Information,2.1,2,2.4,
Pittsburgh,PA,WHJB-FM,Classic Hits,1.4,1.8,1.9,
Pittsburgh,PA,WYEP-FM,Album Adult Alternative,1.1,1.1,1.2,
Pittsburgh,PA,WBGG-AM,All Sports,0.2,0.3,0.2,
Portland,OR,WDVE-FM,Album Oriented Rock,9.9,10.4,10,
Portland,OR,WWSW-FM,Classic Hits,10.6,9.5,9,
Portland,OR,WRRK-FM,Adult Hits,7.7,7.2,7.7,
Portland,OR,WKST-FM,Pop Contemporary Hit Radio,7.2,7.4,7,
Portland,OR,WSHH-FM,Adult Contemporary,6.8,6.6,6.3,
Portland,OR,WDSY-FM,Country,6,5.6,6.1,
Portland,OR,KDKA-AM,News Talk Information,4.7,4.9,5.4,
Portland,OR,KDKA-FM,All Sports,7.6,6.5,4.7,
Portland,OR,WBZZ-FM,Hot Adult Contemporary,4.5,4.6,4.5,
Portland,OR,WPGB-FM,Country,4,4.4,4.2,
Portland,OR,WXDX-FM,Alternative,2.9,3.3,3.6,
Portland,OR,WLTJ-FM,Adult Contemporary,2.5,2.6,2.8,
Portland,OR,WESA-FM,News Talk Information,2.1,2,2.4,
Portland,OR,WHJB-FM,Classic Hits,1.4,1.8,1.9,
Portland,OR,WYEP-FM,Album Adult Alternative,1.1,1.1,1.2,
Portland,OR,WBGG-AM,All Sports,0.2,0.3,0.2,
Raleigh,NC,WDCG-FM,Pop Contemporary Hit Radio,8.3,7.4,7.9,
Raleigh,NC,WUNC-FM,News Talk Information,7.7,7.7,7.8,
Raleigh,NC,WFXC-FM,Urban Adult Contemporary,7.5,8.2,7.5,
Raleigh,NC,WRAL-FM,Adult Contemporary,8.6,7.6,7.1,
Raleigh,NC,WQDR-FM,Country,6.3,6.6,7,
Raleigh,NC,WTKK-FM,Talk/Personality,5.1,5.6,5.7,
Raleigh,NC,WQOK-FM,Urban Contemporary,4.7,5.3,5.3,
Raleigh,NC,WRDU-FM,Classic Rock,4.8,4.9,5.3,
Raleigh,NC,WNNL-FM,Contemporary Inspirational,4.6,4.8,5.1,
Raleigh,NC,WBBB-FM,Adult Hits,4.8,5.2,4.9,
Raleigh,NC,WKIX-FM,Classic Hits,4,4.2,4.1,
Raleigh,NC,WCMC-FM,All Sports,3.1,3.8,3.6,
Raleigh,NC,WPLW-FM,Pop Contemporary Hit Radio,3.6,3.5,3.5,
Raleigh,NC,WNCB-FM,Country,3.4,3.1,3.2,
Raleigh,NC,WCPE-FM,Classical,2.8,2.6,3,
Raleigh,NC,WDCG-FM HD2,Alternative,1.9,2.1,2.1,
Raleigh,NC,WYMY-FM,Mexican Regional,1.8,1.9,1.7,
Raleigh,NC,WPTF-AM,News Talk Information,1,1.4,1.3,
Raleigh,NC,WRTP-FM,Contemporary Christian,1.3,1.1,0.9,
Raleigh,NC,WPTK-AM,Oldies,1,0.9,0.7,
Raleigh,NC,WNCU-FM,Jazz,0.7,0.5,0.5,
Raleigh,NC,WDNC-AM,All Sports,0.3,0.4,0.3,
Raleigh,NC,WUNC-FM Stream,News Talk Information,0.1,0.1,0.2,
Raleigh,NC,WFNL-AM,Comedy,0.1,*,0.1,
Raleigh,NC,WRQM-FM,News Talk Information,0.1,0.1,*,
Sacramento,CA,KSEG-FM,Classic Rock,9.5,9.6,8.8,
Sacramento,CA,KFBK-AM,News Talk Information,6.7,7.9,7.2,
Sacramento,CA,KYMX-FM,Adult Contemporary,5.9,5.4,6.6,
Sacramento,CA,KRXQ-FM,Active Rock,4.7,4.8,5.8,
Sacramento,CA,KNCI-FM,Country,5.8,5.1,5.6,
Sacramento,CA,KXJZ-FM,News Talk Information,4.3,4.3,4.8,
