From: https://tlr.nielsen.com/tlr/public/ratingsDisplay.do?method=loadRatingsForMarket,,,,,,,
City,State,Subscriber, Format,16-Sep, OCT 16, NOV 16, DEC 16
Boston,MA,WROR-FM,Classic Hits,,7.4,6.6,7.7
Boston,MA,WBZ-AM,News Talk Information,,5.3,6,6.2
Boston,MA,WBZ-FM,All Sports,,6.3,6.1,5.4
Boston,MA,WXKS-FM,Pop Contemporary Hit Radio,,5.1,5.6,5.2
Boston,MA,WBUR-FM,News Talk Information,,3.4,4.1,4.5
Boston,MA,WEEI-FM,All Sports,,6.2,5.4,4.5
Boston,MA,WBQT-FM,Rhythmic AC,,4,3.7,4.2
Boston,MA,WKLB-FM,Country,,4.7,4.4,4.1
Boston,MA,WGBH-FM,News Talk Information,,4,3.8,3.8
Boston,MA,WBMX-FM,Hot Adult Contemporary,,3.7,3.6,3.7
Boston,MA,WZLX-FM,Classic Rock,,4.1,4,3.7
Boston,MA,WODS-FM,Pop Contemporary Hit Radio,,3.1,3.5,2.9
Boston,MA,WRKO-AM,News Talk Information,,2.4,2.7,2.8
Boston,MA,WBOS-FM,Alternative,,2.9,2.8,2.7
Boston,MA,WJMN-FM,Rhythmic Contemporary Hit Radio,,2.6,2.4,2.5
Boston,MA,WCRB-FM,Classical,,2.7,3.2,2.4
Boston,MA,WBWL-FM,New Country,,2.7,2.1,2.3
Boston,MA,WAAF-FM,Mainstream Rock,,1.9,2,1.9
Boston,MA,WXRV-FM,Album Adult Alternative,,1.8,1.9,1.9
Boston,MA,WXLO-FM,Hot Adult Contemporary,,1.5,1.5,1.7
Boston,MA,WERS-FM,Variety,,0.8,0.8,0.9
Boston,MA,WCTK-FM,Country,,0.7,0.6,0.5
Boston,MA,WUMB-FM,Album Adult Alternative,,0.2,0.2,0.4
Boston,MA,WEEI-AM,All Sports,,0.1,0.3,0.2
Boston,MA,WKOX-AM,News Talk Information,,0.2,0.2,0.2
Boston,MA,WWFX-FM,Classic Hits,,*,0.1,*
Chicago,IL,WBBM-AM,All News,,6.8,6.5,6.4
Chicago,IL,WLIT-FM,Hot Adult Contemporary,,3.1,2.9,6.3
Chicago,IL,WVAZ-FM,Urban Adult Contemporary,,5.8,5.7,6.2
Chicago,IL,WTMX-FM,Hot Adult Contemporary,,4.9,5.3,5.4
Chicago,IL,WGN-AM,News Talk Information,,4.3,4,4.2
Chicago,IL,WKSC-FM,Pop Contemporary Hit Radio,,4.4,4,3.9
Chicago,IL,WDRV-FM,Classic Rock,,4,3.8,3.5
Chicago,IL,WGCI-FM,Urban Contemporary,,3.5,3.5,3.1
Chicago,IL,WBBM-FM,Pop Contemporary Hit Radio,,3.2,3,3
Chicago,IL,WOJO-FM,Mexican Regional,,2.9,2.5,2.8
Chicago,IL,WSHE-FM,Adult Contemporary,,2.4,2.6,2.7
Chicago,IL,WLS-FM,Classic Hits,,3.2,2.7,2.6
Chicago,IL,WSCR-AM,All Sports,,4.2,6.1,2.6
Chicago,IL,WJMK-FM,Adult Hits,,2.4,2.6,2.5
Chicago,IL,WRME-FM,Soft Adult Contemporary,,2.4,2.2,2.4
Chicago,IL,WXRT-FM,Album Adult Alternative,,2.1,2.1,2.4
Chicago,IL,WLUP-FM,Classic Rock,,2.2,2.4,2.3
Chicago,IL,WUSN-FM,Country,,2.5,2.2,2.3
Chicago,IL,WBEZ-FM,News Talk Information,,2.1,2.3,2.2
Chicago,IL,WKQX-FM,Alternative,,2.3,2.1,2.2
Chicago,IL,WEBG-FM,Country,,2.2,2,2.1
Chicago,IL,WLS-AM,News Talk Information,,2.2,2.2,2.1
Chicago,IL,WMVP-AM,All Sports,,2.1,2.9,2
Chicago,IL,WPPN-FM,Spanish Contemporary,,2.2,2.3,1.9
Chicago,IL,WFMT-FM,Classical,,1.8,1.7,1.5
Chicago,IL,WLEY-FM,Mexican Regional,,1.3,1.3,1.5
Chicago,IL,WVIV-FM,Spanish Contemporary,,1.3,1.1,0.9
Chicago,IL,WERV-FM,Classic Hits,,0.8,0.7,0.7
Chicago,IL,WIIL-FM,Album Oriented Rock,,0.6,0.8,0.7
Chicago,IL,WMBI-FM,Religious,,0.6,0.6,0.7
Chicago,IL,WZSR-FM,Adult Contemporary,,0.7,0.6,0.6
Chicago,IL,WDCB-FM,Jazz,,0.4,0.3,0.5
Chicago,IL,WSSR-FM,Hot Adult Contemporary,,0.6,0.5,0.5
Chicago,IL,WXLC-FM,Hot Adult Contemporary,,0.3,0.3,0.4
Chicago,IL,WCCQ-FM,Country,,0.3,0.4,0.3
Chicago,IL,WGRB-AM,Contemporary Inspirational,,0.3,0.3,0.3
Chicago,IL,WVON-AM,Talk/Personality,,0.4,0.5,0.3
Chicago,IL,WFXF-FM,Classic Rock,,0.3,0.2,0.2
Chicago,IL,WLIT-FM HD2,Mexican Regional,,0.2,0.2,0.2
Chicago,IL,WRTO-AM,Spanish News/Talk,,0.2,0.2,0.2
Chicago,IL,WRXQ-FM,Active Rock,,0.1,0.1,0.2
Cincinnati,OH,WGRR-FM,Classic Hits,9.8,9.8,9.6,
Cincinnati,OH,WLW-AM,News Talk Information,8.2,7.9,8.3,
Cincinnati,OH,WUBE-FM,Country,8.2,8.5,7.9,
Cincinnati,OH,WKRQ-FM,Hot Adult Contemporary,6.1,6.9,7.3,
Cincinnati,OH,WKRC-AM,News Talk Information,5.8,5.6,6.2,
Cincinnati,OH,WEBN-FM,Album Oriented Rock,5.8,5.4,5.3,
Cincinnati,OH,WRRM-FM,Adult Contemporary,4.8,4.9,5,
Cincinnati,OH,WREW-FM,Adult Contemporary,4.4,4.3,4.5,
Cincinnati,OH,WKFS-FM,Pop Contemporary Hit Radio,4.6,4.5,4.3,
Cincinnati,OH,WIZF-FM,Urban Contemporary,4.1,3.8,4.2,
Cincinnati,OH,WOFX-FM,Classic Rock,5,4.6,4.1,
Cincinnati,OH,WVXU-FM,News Talk Information,3.8,3.8,4.1,
Cincinnati,OH,WOSL-FM,Urban Adult Contemporary,2.7,3.5,3.6,
Cincinnati,OH,WFTK-FM,Active Rock,3.3,3.1,2.9,
Cincinnati,OH,WNNF-FM,Country,2.7,2.3,2.1,
Cincinnati,OH,WCKY-AM,All Sports,1,1.7,1.4,
Cincinnati,OH,WEBN-FM HD2,Alternative,1.3,1.2,1.4,
Cincinnati,OH,WOBO-FM,Variety,0.7,0.9,1,
Cincinnati,OH,WYGY-FM,Country,1.2,0.9,1,
Cincinnati,OH,WEBN-FM HD3,Urban Contemporary,0.8,0.7,0.9,
Cincinnati,OH,WGUC-FM,Classical,1.3,0.9,0.9,
Cincinnati,OH,WDBZ-AM,Talk/Personality,0.5,0.7,0.8,
Cincinnati,OH,WSAI-AM,All Sports,0.3,0.8,0.6,
Cleveland,OH,WTAM-AM,News Talk Information,6.1,6.4,9.1,
Cleveland,OH,WMJI-FM,Classic Hits,10.8,9.6,8.6,
Cleveland,OH,WGAR-FM,Country,8.2,7.9,7.7,
Cleveland,OH,WDOK-FM,Adult Contemporary,7.3,6.8,7.3,
Cleveland,OH,WHLK-FM,Adult Hits,8.4,7.7,6.5,
Cleveland,OH,WMMS-FM,Active Rock,5,5.8,6.5,
Cleveland,OH,WZAK-FM,Urban Adult Contemporary,6.8,6.6,6.3,
Cleveland,OH,WNCX-FM,Classic Rock,6.3,6.7,6,
Cleveland,OH,WQAL-FM,Hot Adult Contemporary,6,5.6,5.8,
Cleveland,OH,WENZ-FM,Urban Contemporary,6.1,5.2,5.5,
Cleveland,OH,WAKS-FM,Pop Contemporary Hit Radio,5.3,5.7,5,
Cleveland,OH,WKRK-FM,All Sports,3.3,4.5,4.8,
Cleveland,OH,WCPN-FM,News Talk Information,2.1,2.2,2.2,
Cleveland,OH,WMMS-FM HD2,Alternative,1.1,1.3,1.3,
Cleveland,OH,WCLV-FM,Classical,0.7,1,1.1,
Cleveland,OH,WCRF-FM,Religious,0.6,0.8,0.6,
Cleveland,OH,WKSU-FM,News Talk Information,0.4,0.3,0.3,
Cleveland,OH,WJMO-AM,Contemporary Inspirational,0.1,0.1,0.1,
Dallas,TX,KHKS-FM,Pop Contemporary Hit Radio,,5.8,5.5,5.7
Dallas,TX,KLUV-FM,Classic Hits,,5.8,5.1,5.4
Dallas,TX,KPLX-FM,Country,,5.4,5.7,5.2
Dallas,TX,KZPS-FM,Classic Rock,,4.3,4.4,4.9
Dallas,TX,KLNO-FM,Mexican Regional,,4.8,5.3,4.7
Dallas,TX,KJKK-FM,Adult Hits,,3.5,4.1,4.2
Dallas,TX,WBAP-AM,News Talk Information,,3.5,4.1,4.2
Dallas,TX,KDMX-FM,Hot Adult Contemporary,,4.3,4.4,4
Dallas,TX,KEGL-FM,Active Rock,,3.1,2.9,3.5
Dallas,TX,KDGE-FM,Alternative,,2.2,2.1,3.3
Dallas,TX,KSCS-FM,Country,,3.3,3.6,3.2
Dallas,TX,KTCK-AM,All Sports,,3.1,3.6,3.2
Dallas,TX,KLTY-FM,Adult Contemporary,,3.3,3.4,3.1
Dallas,TX,KRLD-FM,All Sports,,3.7,3.2,2.9
Dallas,TX,KRNB-FM,Urban Adult Contemporary,,3.2,2.9,2.8
Dallas,TX,KERA-FM,News Talk Information,,2.4,2.7,2.7
